timestamp,fire_count,fire_frp_sum,fire_brightness_sum
2025-05-07 02:00:00,22,23.43,6721.45
2025-05-07 13:00:00,1265,9115.56,429661.01
2025-05-08 02:00:00,22,21.12,6737.41
2025-05-08 13:00:00,638,3583.55,216804.03
2025-05-09 01:00:00,21,19.4,6501.74
2025-05-09 13:00:00,616,4421.67,208368.35
2025-05-10 01:00:00,20,43.16,6224.33
2025-05-10 12:00:00,1506,8086.2,512150.11
2025-05-10 14:00:00,275,2284.59,93198.04
2025-05-11 01:00:00,23,28.39,7008.6
2025-05-11 02:00:00,10,11.1,3105.8
2025-05-11 03:00:00,15,18.47,4631.2
2025-05-11 12:00:00,1151,6766.85,389642.12
2025-05-11 14:00:00,2256,11025.79,771258.79
2025-05-12 02:00:00,12,21.21,3711.8
2025-05-12 13:00:00,1709,10989.58,583759.79
2025-05-13 02:00:00,39,114.37,12141.69
2025-05-13 13:00:00,2793,17107.23,955533.55
2025-05-14 02:00:00,104,439.19,32572.93
2025-05-14 13:00:00,2255,19028.09,774750.23
2025-05-15 01:00:00,95,162.7,29561.15
2025-05-15 03:00:00,4,9.11,1222.3
2025-05-15 13:00:00,2194,15489.5,749923.27
2025-05-15 14:00:00,75,774.78,25399.1
2025-05-16 01:00:00,167,251.83,51672.1
2025-05-16 03:00:00,101,124.01,31204.84
2025-05-16 12:00:00,1513,7524.45,515196.23
2025-05-16 14:00:00,1040,5396.67,354894.79
2025-05-17 01:00:00,3,11.43,939.01
2025-05-17 02:00:00,84,151.83,26274.41
2025-05-17 12:00:00,59,424.48,19898.94
2025-05-17 14:00:00,1224,9878.34,419652.81
2025-05-18 02:00:00,61,93.83,19026.25
2025-05-18 13:00:00,1505,11411.13,516779.18
2025-05-19 02:00:00,61,84.19,19044.45
2025-05-19 13:00:00,348,2464.46,119140.56
2025-05-20 01:00:00,25,59.21,7912.1
2025-05-20 13:00:00,814,5716.06,278554.33
2025-05-21 01:00:00,13,22.87,4019.6
2025-05-21 03:00:00,8,18.06,2504.38
2025-05-21 12:00:00,450,1942.25,153287.89
2025-05-21 14:00:00,128,730.21,43589.18
2025-05-22 01:00:00,9,50.37,2889.81
2025-05-22 02:00:00,13,43.36,4111.33
2025-05-22 12:00:00,43,355.01,14535.06
2025-05-22 14:00:00,258,1713.9,87767.77
2025-05-23 02:00:00,7,8.84,2159.1800000000003
2025-05-23 13:00:00,405,2927.13,138080.21
2025-05-24 02:00:00,32,52.75,10045.71
2025-05-24 13:00:00,258,1629.94,87931.99
2025-05-25 01:00:00,4,4.73,1247.8
2025-05-25 13:00:00,137,669.97,46284.02
2025-05-26 01:00:00,4,4.63,1228.26
2025-05-26 12:00:00,286,1488.95,97607.74
2025-05-26 14:00:00,52,335.94,17597.41
2025-05-27 01:00:00,2,2.6,619.46
2025-05-27 03:00:00,3,4.89,930.13
2025-05-27 12:00:00,80,474.77,27030.35
2025-05-27 14:00:00,202,938.41,69028.12
2025-05-28 02:00:00,11,17.71,3378.04
2025-05-28 13:00:00,285,2080.79,97775.94
2025-05-29 02:00:00,13,20.87,4057.7200000000003
2025-05-29 13:00:00,248,2063.79,85522.76
2025-05-30 02:00:00,121,428.86,38574.38
2025-05-30 13:00:00,34,470.15,11659.72
2025-05-31 01:00:00,4,4.84,1254.8
2025-05-31 13:00:00,90,506.63,30551.05
2025-06-01 01:00:00,7,8.41,2132.9
2025-06-01 03:00:00,6,4.11,1837.61
2025-06-01 12:00:00,87,385.65,29460.49
2025-06-01 14:00:00,89,635.73,30636.12
2025-06-02 02:00:00,11,21.060000000000002,3381.74
2025-06-02 14:00:00,139,1030.73,47523.82
2025-06-03 02:00:00,6,7.08,1856.65
2025-06-03 13:00:00,49,273.37,16628.54
2025-06-04 02:00:00,10,8.79,3056.91
2025-06-04 13:00:00,17,104.0,5773.29
2025-06-05 01:00:00,7,9.209999999999999,2146.26
2025-06-05 13:00:00,79,391.75,26820.92
2025-06-06 01:00:00,1,0.96,303.63
2025-06-06 12:00:00,67,263.17,22684.88
2025-06-06 14:00:00,19,103.59,6456.85
2025-06-07 01:00:00,1,3.62,325.68
2025-06-07 02:00:00,3,3.6799999999999997,925.04
2025-06-07 12:00:00,5,19.16,1672.6200000000001
2025-06-07 14:00:00,36,144.16,12242.1
2025-06-08 02:00:00,10,26.17,3125.99
2025-06-08 13:00:00,117,727.04,39964.09
2025-06-09 02:00:00,24,40.550000000000004,7547.63
2025-06-09 13:00:00,55,453.44,19081.23
2025-06-10 01:00:00,37,106.26,11739.51
2025-06-10 13:00:00,125,895.97,42823.06
2025-06-11 01:00:00,13,16.24,4043.2
2025-06-11 03:00:00,2,8.54,638.48
2025-06-11 12:00:00,140,917.81,47859.77
2025-06-11 14:00:00,38,189.09,12816.13
2025-06-12 01:00:00,2,2.85,625.73
2025-06-12 03:00:00,7,12.74,2186.84
2025-06-12 12:00:00,69,407.15,23460.35
2025-06-12 14:00:00,126,513.93,43064.87
2025-06-13 02:00:00,9,29.3,2826.96
2025-06-13 13:00:00,141,1081.94,48088.65
2025-06-13 14:00:00,10,55.89,3426.43
2025-06-14 02:00:00,9,9.29,2775.69
2025-06-14 13:00:00,144,741.28,49012.12
2025-06-15 02:00:00,8,24.15,2491.0
2025-06-15 13:00:00,6,56.839999999999996,2066.97
2025-06-16 01:00:00,1,1.58,305.87
2025-06-16 13:00:00,10,50.7,3395.3
2025-06-17 01:00:00,1,3.04,317.34
2025-06-17 12:00:00,2,36.86,734.0
2025-06-17 14:00:00,2,8.42,671.4200000000001
2025-06-18 14:00:00,174,792.23,58931.77
2025-06-19 02:00:00,4,10.79,1275.6100000000001
2025-06-19 13:00:00,272,1257.69,91951.36
2025-06-20 02:00:00,4,3.95,1240.24
